NAME,DISTANCE,MASS,RADIUS
SDSS J000013.54+255418.6 [de],46.1,48,0.99
2MASS J00040288-6410358,192,19,1.63
LHS 102BC,,,
2MASS J00242463-0158201,37.7,79,1.09
2MASS J00250365+4759191AB,143,,
2MASS J00274197+0503417,236,31,1.44
2MASS J00275592+2219328,46.9,,
2MASSW J0030300-145033,87.2,54,0.98
2MASS J00332386-1521309 [de],131,29,1.43
2MASS J00345157+0523050,31,42,0.94
2MASS 0036+1821,28.6,42,0.94
2MASSW J0045214+163445,57,23,1.62
WISEP J004701.06+680352.1 [fr],40,12,1.3
2MASS J00501994-3322402 [de],34,40,0.94
2MASS J00034227-2822410,,,
2MASS J00584253-0651239 [de],96,29,1.43
CFBDS J005910.90–011401.3,30,23,
2MASSI J0103320+193536,70,52,0.98
SDSSp J010752.33+004156.1 [de],51,52,0.98
2MASSI J0117474-340325 [de],163,20,1.62
2MASS J01415823-4633574 [de],130,20,1.61
SDSS J015141.69+124429.6,70,47,0.97
